P0,P1,P2,P3,P5
100.23706896551724,198.70247933884298,326.77777777777777,512.3623188405797,602.6339285714286
76.67241379310344,148.52892561983472,248.46153846153845,393.57971014492756,485.91964285714283
67.03879310344827,136.28925619834712,194.1965811965812,415.0,389.26785714285717
40.0,73.8099173553719,109.33333333333333,208.64492753623188,230.00892857142858
30.53448275862069,56.71900826446281,90.90598290598291,169.15217391304347,175.23214285714286
51.17672413793103,104.90082644628099,177.56410256410257,333.92028985507244,317.35714285714283
58.116379310344826,125.46280991735537,220.11111111111111,435.81159420289856,355.8482142857143
94.61637931034483,176.94214876033058,321.56410256410254,590.1594202898551,574.5982142857143
130.91379310344828,211.17355371900825,411.64957264957263,630.731884057971,658.7321428571429
135.52155172413794,215.0,436.9059829059829,572.1739130434783,674.0267857142857
135.64224137931035,223.11570247933884,431.55555555555554,551.7028985507246,715.3035714285714
136.77155172413794,228.3388429752066,437.008547008547,577.695652173913,761.8392857142857
139.43965517241378,235.9504132231405,441.0683760683761,625.1376811594203,770.9107142857143
141.54741379310346,238.04132231404958,434.4017094017094,634.6594202898551,760.5
130.77586206896552,227.43801652892563,383.95726495726495,615.5942028985507,659.5357142857143
114.02586206896552,215.9504132231405,329.65811965811963,626.2101449275362,548.2053571428571
104.16810344827586,222.12396694214877,307.22222222222223,667.7536231884058,498.14285714285717
118.23275862068965,239.16528925619835,345.5213675213675,683.195652173913,589.5357142857143
128.68965517241378,238.37190082644628,389.9145299145299,650.9855072463768,712.5267857142857
134.72413793103448,256.099173553719,428.1880341880342,680.9057971014493,855.5803571428571
135.60344827586206,265.1570247933884,435.44444444444446,684.3695652173913,865.1875
132.0344827586207,262.79338842975204,444.88034188034186,671.3188405797101,787.6607142857143
126.49568965517241,260.39669421487605,441.20512820512823,682.9057971014493,786.7232142857143
89.0646551724138,185.53719008264463,315.36752136752136,496.67391304347825,569.1964285714286
